date,station,location,subdistrict,district,province,time,gwater_mean,gwater_min,gwater_max,smoisture_mean,smoisture_min,smoisture_max,precip_composite,precip_min,precip_max,status
2019-02-20,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:00,-0.48,-0.49,-0.48,54.78,54.6,55.4,0,0,0,BAHAYA
2019-02-20,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:01,-0.48,-0.48,-0.48,54.6,54.6,54.6,0,0,0,BAHAYA
2019-02-20,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:01,-0.32,-0.32,-0.31,80.4,80.4,80.4,0.4,0,0.2,SIAGA
2019-02-20,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:03,-0.31,-0.32,-0.31,80.4,80.4,80.4,0,0,0,SIAGA
2019-02-21,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:10:02,-0.48,-0.48,-0.47,55.2,55.2,55.2,0,0,0,BAHAYA
2019-02-21,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:07,-0.48,-0.48,-0.47,55.2,55.2,55.2,0,0,0,BAHAYA
2019-02-21,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:02,-0.24,-0.24,-0.24,85.45,83.2,87.7,0,0,0,SIAGA
2019-02-21,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:01,-0.24,-0.24,-0.24,85.45,83.2,87.7,0,0,0,SIAGA
2019-02-22,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:07,-0.47,-0.47,-0.47,54.83,54.6,55.1,0,0,0,BAHAYA
2019-02-22,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:04,-0.47,-0.47,-0.47,54.6,54.6,54.6,0,0,0,BAHAYA
2019-02-22,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:02,-0.23,-0.23,-0.23,86,86,86,0,0,0,SIAGA
2019-02-22,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:02,-0.23,-0.23,-0.23,86,86,86,0,0,0,SIAGA
2019-02-23,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:00,-0.48,-0.48,-0.48,54.93,54.6,55.1,0,0,0,BAHAYA
2019-02-23,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:06,-0.48,-0.48,-0.48,54.8,54.6,55,0,0,0,BAHAYA
2019-02-23,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:01,-0.24,-0.24,-0.24,87.63,86.3,90.3,0,0,0,SIAGA
2019-02-23,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:00,-0.24,-0.24,-0.24,90.3,90.3,90.3,0,0,0,SIAGA
2019-02-24,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:06,-0.49,-0.49,-0.49,54.6,54.6,54.6,0,0,0,BAHAYA
2019-02-24,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:03,-0.49,-0.49,-0.49,54.55,54.5,54.6,0,0,0,BAHAYA
2019-02-24,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:02,-0.27,-0.27,-0.26,90.4,90.4,90.4,0,0,0,SIAGA
2019-02-24,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:03,-0.27,-0.27,-0.27,90.4,90.4,90.4,0,0,0,SIAGA
2019-02-25,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:08,-0.49,-0.49,-0.48,54.75,54.4,55.1,0,0,0,BAHAYA
2019-02-25,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:04,-0.49,-0.49,-0.49,55.1,55.1,55.1,0,0,0,BAHAYA
2019-02-25,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:03,-0.23,-0.23,-0.23,88.42,88.4,88.5,0,0,0,SIAGA
2019-02-25,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:03,-0.24,-0.24,-0.23,88.4,88.4,88.4,0,0,0,SIAGA
2019-02-26,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:05,-0.5,-0.5,-0.5,54.5,54.5,54.5,0,0,0,BAHAYA
2019-02-26,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:04,-0.5,-0.5,-0.5,54.5,54.5,54.5,0,0,0,BAHAYA
2019-02-26,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:02,-0.22,-0.23,-0.22,90.5,90.5,90.5,0,0,0,SIAGA
2019-02-26,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:04,-0.22,-0.22,-0.22,90.5,90.5,90.5,0,0,0,SIAGA
2019-02-27,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:03,-0.52,-0.53,-0.52,54.5,54.5,54.5,0,0,0,BAHAYA
2019-02-27,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:03,-0.52,-0.52,-0.52,54.5,54.5,54.5,0,0,0,BAHAYA
2019-02-27,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:02,-0.23,-0.24,-0.23,93.9,93.9,93.9,0,0,0,SIAGA
2019-02-27,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:04,-0.23,-0.23,-0.23,93.9,93.9,93.9,0,0,0,SIAGA
2019-02-28,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:01,-0.53,-0.53,-0.53,54.5,54.5,54.5,0,0,0,BAHAYA
2019-02-28,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:05,-0.53,-0.53,-0.53,54.5,54.5,54.5,0,0,0,BAHAYA
2019-02-28,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,00:00:03,-0.26,-0.27,-0.26,93.8,93.8,93.8,0,0,0,SIAGA
2019-02-28,BRG_910111_02,SUMBER_REJEKI,KURIK,MERAUKE,PAPUA,01:00:00,-0.27,-0.27,-0.26,93.8,93.8,93.8,0,0,0,SIAGA
2019-03-01,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,00:00:03,-0.58,-0.58,-0.58,55.3,55.3,55.3,0,0,0,BAHAYA
2019-03-01,BRG_910111_01,SUMBER_MULYA,KURIK,MERAUKE,PAPUA,01:00:05,-0.58,-0.58,-0.58,55.3,55.3,55.3,0,0,0,BAHAYA
