date,station,location,subdistrict,district,province,time,gwater_mean,gwater_min,gwater_max,smoisture_mean,smoisture_min,smoisture_max,precip_composite,precip_min,precip_max,status
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,00:00:02,-0.32,-0.32,-0.32,76.27,76.2,76.6,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,01:00:07,-0.32,-0.33,-0.32,76.47,76.2,77,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,02:00:07,-0.32,-0.32,-0.32,76.75,76.6,76.9,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,03:00:05,-0.32,-0.32,-0.32,76.9,76.9,76.9,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,04:00:02,-0.32,-0.33,-0.32,76.9,76.9,76.9,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,05:00:02,-0.32,-0.33,-0.32,76.85,76.8,76.9,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,06:00:03,-0.32,-0.32,-0.32,76.8,76.8,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,07:00:04,-0.32,-0.32,-0.32,76.8,76.8,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,08:00:00,-0.32,-0.33,-0.32,76.78,76.7,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,09:00:07,-0.33,-0.33,-0.32,76.7,76.7,76.7,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,10:00:04,-0.33,-0.33,-0.33,76.7,76.7,76.7,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,11:00:07,-0.33,-0.33,-0.32,76.72,76.7,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,12:00:06,-0.33,-0.33,-0.32,76.68,76.6,76.7,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,13:00:00,-0.33,-0.33,-0.33,76.72,76.7,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,14:00:04,-0.33,-0.33,-0.33,76.7,76.7,76.7,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,15:00:05,-0.33,-0.33,-0.32,76.72,76.7,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,16:00:07,-0.33,-0.34,-0.33,76.75,76.5,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,17:00:05,-0.33,-0.33,-0.33,76.8,76.8,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,18:00:06,-0.33,-0.33,-0.33,76.8,76.8,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,19:00:00,-0.33,-0.33,-0.33,76.8,76.8,76.8,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,20:00:02,-0.33,-0.34,-0.33,76.88,76.8,76.9,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,21:00:00,-0.33,-0.34,-0.33,76.88,76.8,76.9,0,0,0,SIAGA
2019-02-19,BRG_140701_02,TELUK_PIYAI,KUBU,ROKAN_HILIR,RIAU,22:00:03,-0.33,-0.34,-0.33,76.9,76.9,76.9,0,0,0,SIAGA
